6 bench : x:  8, y:  1, w:612, h: 61, prob:0.53 
6 bench : x:  7, y:  0, w:615, h: 62, prob:0.56 
12 bench : x: 10, y:  1, w:610, h: 61, prob:0.38 
14 bench : x:  6, y:  1, w:615, h: 62, prob:0.54 
15 bench : x:  8, y:  1, w:613, h: 61, prob:0.42 
18 bench : x:  9, y:  1, w:611, h: 61, prob:0.37 
20 bench : x:  7, y:  1, w:615, h: 62, prob:0.55 
23 bench : x:  8, y:  1, w:614, h: 61, prob:0.55 
28 bench : x: 11, y:  1, w:609, h: 61, prob:0.32 
32 bench : x: 10, y:  1, w:611, h: 61, prob:0.51 
36 bench : x: 10, y:  1, w:610, h: 61, prob:0.37 
40 bench : x:  7, y:  0, w:615, h: 62, prob:0.51 
44 bench : x:  6, y:  0, w:616, h: 62, prob:0.60 
48 bench : x:  5, y:  0, w:619, h: 62, prob:0.67 
52 bench : x:  6, y:  0, w:616, h: 62, prob:0.59 
56 bench : x:  6, y:  0, w:616, h: 62, prob:0.61 
64 bench : x:  7, y:  0, w:613, h: 62, prob:0.47 
68 bench : x:  7, y:  0, w:614, h: 62, prob:0.51 
72 bench : x:  7, y:  0, w:614, h: 62, prob:0.53 
76 bench : x:  8, y:  0, w:613, h: 62, prob:0.53 
80 bench : x:  9, y:  1, w:613, h: 61, prob:0.53 
84 bench : x:  8, y:  1, w:613, h: 62, prob:0.54 
88 bench : x:  8, y:  1, w:614, h: 61, prob:0.51 
92 bench : x:  9, y:  1, w:612, h: 61, prob:0.54 
95 bench : x:  6, y:  0, w:615, h: 62, prob:0.61 
99 bench : x:  6, y:  0, w:617, h: 62, prob:0.59 
103 bench : x:  5, y:  0, w:617, h: 62, prob:0.67 
107 bench : x:  6, y:  0, w:617, h: 62, prob:0.56 
